id,left,top,right,bottom
549,911163.511000000056811,1900064.378900000127032,914163.511000000056811,1897064.378900000127032
550,911163.511000000056811,1897064.378900000127032,914163.511000000056811,1894064.378900000127032
554,914163.511000000056811,1957064.378900000127032,917163.511000000056811,1954064.378900000127032
556,914163.511000000056811,1951064.378900000127032,917163.511000000056811,1948064.378900000127032
559,914163.511000000056811,1942064.378900000127032,917163.511000000056811,1939064.378900000127032
560,914163.511000000056811,1939064.378900000127032,917163.511000000056811,1936064.378900000127032
561,914163.511000000056811,1936064.378900000127032,917163.511000000056811,1933064.378900000127032
562,914163.511000000056811,1933064.378900000127032,917163.511000000056811,1930064.378900000127032
563,914163.511000000056811,1930064.378900000127032,917163.511000000056811,1927064.378900000127032
564,914163.511000000056811,1927064.378900000127032,917163.511000000056811,1924064.378900000127032
565,914163.511000000056811,1924064.378900000127032,917163.511000000056811,1921064.378900000127032
568,914163.511000000056811,1915064.378900000127032,917163.511000000056811,1912064.378900000127032
569,914163.511000000056811,1912064.378900000127032,917163.511000000056811,1909064.378900000127032
570,914163.511000000056811,1909064.378900000127032,917163.511000000056811,1906064.378900000127032
571,914163.511000000056811,1906064.378900000127032,917163.511000000056811,1903064.378900000127032
572,914163.511000000056811,1903064.378900000127032,917163.511000000056811,1900064.378900000127032
573,914163.511000000056811,1900064.378900000127032,917163.511000000056811,1897064.378900000127032
574,914163.511000000056811,1897064.378900000127032,917163.511000000056811,1894064.378900000127032
575,914163.511000000056811,1894064.378900000127032,917163.511000000056811,1891064.378900000127032
579,917163.511000000056811,1954064.378900000127032,920163.511000000056811,1951064.378900000127032
580,917163.511000000056811,1951064.378900000127032,920163.511000000056811,1948064.378900000127032
581,917163.511000000056811,1948064.378900000127032,920163.511000000056811,1945064.378900000127032
582,917163.511000000056811,1945064.378900000127032,920163.511000000056811,1942064.378900000127032
583,917163.511000000056811,1942064.378900000127032,920163.511000000056811,1939064.378900000127032
584,917163.511000000056811,1939064.378900000127032,920163.511000000056811,1936064.378900000127032
585,917163.511000000056811,1936064.378900000127032,920163.511000000056811,1933064.378900000127032
586,917163.511000000056811,1933064.378900000127032,920163.511000000056811,1930064.378900000127032
590,917163.511000000056811,1921064.378900000127032,920163.511000000056811,1918064.378900000127032
593,917163.511000000056811,1912064.378900000127032,920163.511000000056811,1909064.378900000127032
594,917163.511000000056811,1909064.378900000127032,920163.511000000056811,1906064.378900000127032
595,917163.511000000056811,1906064.378900000127032,920163.511000000056811,1903064.378900000127032
596,917163.511000000056811,1903064.378900000127032,920163.511000000056811,1900064.378900000127032
597,917163.511000000056811,1900064.378900000127032,920163.511000000056811,1897064.378900000127032
598,917163.511000000056811,1897064.378900000127032,920163.511000000056811,1894064.378900000127032
599,917163.511000000056811,1894064.378900000127032,920163.511000000056811,1891064.378900000127032
603,920163.511000000056811,1954064.378900000127032,923163.511000000056811,1951064.378900000127032
604,920163.511000000056811,1951064.378900000127032,923163.511000000056811,1948064.378900000127032
605,920163.511000000056811,1948064.378900000127032,923163.511000000056811,1945064.378900000127032
606,920163.511000000056811,1945064.378900000127032,923163.511000000056811,1942064.378900000127032
607,920163.511000000056811,1942064.378900000127032,923163.511000000056811,1939064.378900000127032
608,920163.511000000056811,1939064.378900000127032,923163.511000000056811,1936064.378900000127032
611,920163.511000000056811,1930064.378900000127032,923163.511000000056811,1927064.378900000127032
612,920163.511000000056811,1927064.378900000127032,923163.511000000056811,1924064.378900000127032
613,920163.511000000056811,1924064.378900000127032,923163.511000000056811,1921064.378900000127032
616,920163.511000000056811,1915064.378900000127032,923163.511000000056811,1912064.378900000127032
617,920163.511000000056811,1912064.378900000127032,923163.511000000056811,1909064.378900000127032
618,920163.511000000056811,1909064.378900000127032,923163.511000000056811,1906064.378900000127032
619,920163.511000000056811,1906064.378900000127032,923163.511000000056811,1903064.378900000127032
620,920163.511000000056811,1903064.378900000127032,923163.511000000056811,1900064.378900000127032
621,920163.511000000056811,1900064.378900000127032,923163.511000000056811,1897064.378900000127032
622,920163.511000000056811,1897064.378900000127032,923163.511000000056811,1894064.378900000127032
623,920163.511000000056811,1894064.378900000127032,923163.511000000056811,1891064.378900000127032
624,920163.511000000056811,1891064.378900000127032,923163.511000000056811,1888064.378900000127032
635,923163.511000000056811,1930064.378900000127032,926163.511000000056811,1927064.378900000127032
636,923163.511000000056811,1927064.378900000127032,926163.511000000056811,1924064.378900000127032
641,923163.511000000056811,1912064.378900000127032,926163.511000000056811,1909064.378900000127032
642,923163.511000000056811,1909064.378900000127032,926163.511000000056811,1906064.378900000127032
643,923163.511000000056811,1906064.378900000127032,926163.511000000056811,1903064.378900000127032
644,923163.511000000056811,1903064.378900000127032,926163.511000000056811,1900064.378900000127032
645,923163.511000000056811,1900064.378900000127032,926163.511000000056811,1897064.378900000127032
646,923163.511000000056811,1897064.378900000127032,926163.511000000056811,1894064.378900000127032
647,923163.511000000056811,1894064.378900000127032,926163.511000000056811,1891064.378900000127032
648,923163.511000000056811,1891064.378900000127032,926163.511000000056811,1888064.378900000127032
659,926163.511000000056811,1930064.378900000127032,929163.511000000056811,1927064.378900000127032
667,926163.511000000056811,1906064.378900000127032,929163.511000000056811,1903064.378900000127032
668,926163.511000000056811,1903064.378900000127032,929163.511000000056811,1900064.378900000127032
669,926163.511000000056811,1900064.378900000127032,929163.511000000056811,1897064.378900000127032
